Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
138,340461476,1008,22896,17693,4454,749,30153,648860,4,1,0,0,1688.3,1633.76,1854.78,0.00410792,0.0234572,0.00376775
139,340461476,1008,20273,15044,4468,761,27669,580260,4,1,0,0,4855.06,1733.11,5421.41,0.0060387,0.0262832,0.00603927
140,340461476,1008,18800,13632,4507,661,26061,521320,3,1,0,0,2354.41,1571.43,2603.79,0.0196721,0.0282818,0.0199185
141,340461476,1008,17405,12278,4424,703,24576,492840,3,1,0,0,1990.59,1594.13,2191.55,0.0107803,0.0269265,0.0106468
142,340461476,1008,16506,11533,4250,723,23436,447480,2,1,0,0,3227.3,1285.75,3677,0.00965182,0.0295428,0.00942034
143,340461476,1008,17888,13053,4065,770,24600,426340,2,0,0,0,2775.34,1901.1,3200.71,0.0176221,0.0241319,0.0174216
144,340461476,1008,17103,12336,3974,793,23684,459700,3,1,0,0,733.119,1173.07,770.133,0.0157815,0.0351274,0.0163002
145,340461476,1008,16204,11560,3803,841,22786,451600,3,0,0,0,1675.76,1525.2,1898.62,0.00381158,0.0209327,0.00364439
146,340461476,1008,14167,9617,3691,859,20665,426040,2,0,0,0,2568.2,1511.66,2393.89,0.00904445,0.0268143,0.00906522
147,340461476,1008,15555,11151,3509,895,21787,361840,1,0,0,0,1851.29,1545.51,2389.55,0.0151373,0.0266418,0.011991
148,340461476,1008,13606,9278,3400,928,19682,395200,1,0,0,0,688.447,1147.93,799.275,0.0125716,0.0314256,0.0144471
149,340461476,1008,12780,8609,3226,945,18765,354320,1,0,0,0,2545.13,1845.2,2896.26,0.00430872,0.0214808,0.00439211
150,340461476,1008,11783,7747,3050,986,17603,335820,1,0,0,0,4124.32,1554.89,4599.47,0.0177633,0.0360251,0.018122
151,340461476,1008,11729,7885,2867,977,17468,297800,1,0,0,0,790.271,1424.19,830.191,0.0308338,0.0297529,0.0307041
152,340461476,1009,10231,6529,2746,956,15797,299100,1,0,0,0,1001.76,1295.81,1075.96,0.0062021,0.0299075,0.00676272
153,340461476,1009,12072,8538,2568,966,17267,261680,1,0,0,0,816.92,1467.37,845.135,0.00844086,0.0265101,0.00817971
154,340461476,1009,11732,8277,2505,950,16814,306700,1,0,0,0,340.092,1328.36,316.104,0.00766054,0.0359473,0.00739918
155,340461476,1009,11045,7652,2475,918,16001,301480,1,0,0,0,1720.96,1449.14,1925.18,0.00274223,0.0261386,0.00239727
156,340461476,1009,10397,7029,2469,899,15215,291620,1,0,0,0,1054.25,1409.08,1192.28,0.0140601,0.0307282,0.0145935
157,340461476,1009,9675,6420,2252,1003,14324,272080,1,0,0,0,719.802,1370.46,801.671,0.00922189,0.0278364,0.00941171
158,340461476,1009,9137,6004,2190,943,13585,245520,1,0,0,0,731.199,1719.64,784.558,0.00683053,0.0281987,0.00678807
159,340461476,1009,9516,6533,2094,889,13951,231420,1,0,0,0,872.455,1028.98,981.731,0.0077721,0.0372217,0.00745494
160,340461476,1009,9210,6287,2053,870,13473,251000,1,0,0,0,667.108,1218.99,746.347,0.00985825,0.0238189,0.00984488
161,340461476,1009,8851,6032,1986,833,12990,241680,1,0,0,0,905.534,1718.75,998.486,0.0069274,0.0247259,0.00708109
162,340461476,1009,9120,6333,2061,726,13183,228620,1,0,0,0,827.269,970.443,785.969,0.00994874,0.0359121,0.0097129
163,340461476,1010,8711,5947,2065,699,12737,233920,1,0,0,0,636.284,1230.95,801.652,0.00969152,0.0208967,0.00811784
164,340461476,1010,7984,5294,2007,683,11818,224780,1,0,0,0,505.778,1213.42,602.757,0.00769761,0.022636,0.00827469
165,340461476,1010,7928,5315,1972,641,11610,205160,0,0,0,0,947.395,1341.76,1105.11,0.00602691,0.0262305,0.00637164
166,340461476,1010,7633,5100,1968,565,11129,199280,0,0,0,0,296.186,1221.62,382.21,0.0127065,0.0292834,0.013035
167,340461476,1010,7481,5009,1914,558,10815,190080,0,0,0,0,1048.82,969.957,1261.7,0.0042752,0.0258709,0.00461718
168,340461476,1010,6911,4513,1847,551,10148,195140,0,0,0,0,403.283,1180.34,454.65,0.0151608,0.0216412,0.0165838
169,340461476,1010,7068,4731,1865,472,10165,173520,0,0,0,0,530.699,1097.71,627.446,0.00573823,0.0262299,0.00569309
170,340461476,1010,6362,4094,1794,474,9421,183780,0,0,0,0,660.829,973.433,708.924,0.00874587,0.0252696,0.00904101
171,340461476,1010,6663,4431,1763,469,9547,165120,0,0,0,0,493.767,1185.17,516.743,0.0104363,0.0215839,0.00940716
172,340461476,1010,6157,4017,1741,399,8951,172540,0,0,0,0,415.268,1108.76,368.966,0.00876406,0.026693,0.00802645
173,340461476,1010,5537,3479,1672,386,8306,156760,0,0,0,0,522.904,1152.3,591.562,0.0067348,0.0290101,0.00507798
174,340461476,1010,5068,3131,1554,383,7746,143840,0,0,0,0,394.243,1091.27,419.271,0.00903427,0.031779,0.00944685
175,340461476,1010,4805,2955,1416,434,7335,125060,0,0,0,0,274.198,863.498,333.666,0.00763149,0.0290851,0.00767054
176,340461476,1010,4438,2680,1391,367,6837,121460,0,0,0,0,398.364,981.196,426.739,0.00592732,0.0269843,0.00712961
177,340461476,1010,4463,2788,1325,350,6720,115200,0,0,0,0,266.283,1122.14,361.093,0.00902092,0.0294124,0.00971185
178,340461476,1010,4306,2730,1235,341,6492,113440,0,0,0,0,164.174,842.016,186.861,0.00679293,0.0342323,0.00835476
179,340461476,1010,3748,2257,1140,351,5857,111760,0,0,0,0,351.557,1017.7,426.175,0.00423566,0.0260847,0.00440711
180,340461476,1010,3546,2154,1056,336,5599,96320,0,0,0,0,481.938,1011.77,502.931,0.00921754,0.0290275,0.0110523
181,340461476,1010,3429,2101,1005,323,5401,92400,0,0,0,0,459.053,1212.98,428.504,0.01449,0.0358022,0.014452
182,340461476,1011,3020,1752,947,321,4876,91400,0,0,0,0,199.005,817.993,206.117,0.0142386,0.0422052,0.0136379
183,340461476,1011,2957,1763,893,301,4656,72460,0,0,0,0,258.596,927.018,314.774,0.00670051,0.0267493,0.00662331
184,340461476,1011,2834,1695,844,295,4417,76580,0,0,0,0,262.199,978.182,263.666,0.010677,0.0386257,0.0129857
185,340461476,1011,3138,2055,791,292,4616,69620,0,0,0,0,281.119,926.661,334.91,0.00996196,0.0385718,0.010589
186,340461476,1011,2746,1704,798,244,4154,78360,0,0,0,0,154.869,975.627,207.188,0.0128248,0.0395671,0.0137937
187,340461476,1011,2632,1631,730,271,4029,71060,0,0,0,0,259.376,1123.85,296.307,0.00629038,0.0342806,0.00819574
188,340461476,1011,2487,1547,680,260,3867,66940,0,0,0,0,287.168,922.985,303.076,0.0120978,0.043832,0.0123564
189,340461476,1011,2440,1570,621,249,3871,65320,0,0,0,0,269.035,944.123,255.262,0.0132948,0.0378894,0.0144459
190,340461476,1012,2333,1498,589,246,3651,63260,0,0,0,0,238.095,916.068,234.773,0.0134518,0.0387571,0.0121785
191,340461476,1012,2552,1742,572,238,3797,59980,0,0,0,0,293.994,902.096,297.994,0.011822,0.0355341,0.0135394
192,340461476,1012,2457,1662,571,224,3596,63100,0,0,0,0,170.012,879.046,187.125,0.0157722,0.0342221,0.0198928
193,340461476,1012,2391,1612,595,184,3508,66240,0,0,0,0,189.313,878.814,206.46,0.0100125,0.0297176,0.0113135
194,340461476,1012,2310,1574,565,171,3371,59440,0,0,0,0,86.8672,747.796,102.52,0.0108427,0.0300758,0.0105552
195,340461476,1012,2199,1478,552,169,3208,58440,0,0,0,0,171.304,960.149,170.338,0.00560433,0.0280283,0.00593972
196,340461476,1012,2145,1435,545,165,3157,58020,0,0,0,0,79.2834,874.102,104.982,0.0101604,0.0360146,0.0114168
197,340461476,1012,2069,1386,530,153,3015,52580,0,0,0,0,113.396,822.058,84.2179,0.00496142,0.0330598,0.00672961
198,340461476,1012,1806,1138,506,162,2710,54460,0,0,0,0,157.525,831.677,181.805,0.00865617,0.0321367,0.00605884
199,340461476,1012,1857,1227,469,161,2773,43200,0,0,0,0,206.563,833.296,215.181,0.0109544,0.0323358,0.0126605
200,340461476,1012,1757,1153,473,131,2678,47220,0,0,0,0,155.139,857.512,169.933,0.0200158,0.0376376,0.0200355
201,340461476,1012,1662,1082,466,114,2519,44480,0,0,0,0,139.358,827.717,157.398,0.013467,0.0394077,0.0121903
202,340461476,1011,1632,1074,442,116,2475,46500,0,0,0,0,65.7727,773.373,65.0809,0.0143372,0.0374532,0.0124327
203,340461476,1011,1604,1075,423,106,2406,42260,0,0,0,0,100.063,807.207,116.736,0.00615849,0.0330784,0.00523159
204,340461476,1011,1616,1093,425,98,2400,43520,0,0,0,0,152.188,816.923,218.653,0.0136698,0.0356225,0.00950622
205,340461476,1011,1557,1058,414,85,2266,42860,0,0,0,0,51.6714,854.571,107.079,0.0176552,0.0347331,0.0192138
206,340461476,1011,1441,951,411,79,2106,42180,0,0,0,0,126.103,644.664,110.448,0.00606472,0.034626,0.0110848
207,340461476,1011,1393,933,395,65,2064,34940,0,0,0,0,54.4028,846.296,61.3365,0.0156844,0.0267273,0.0110227
208,340461476,1011,1394,943,380,71,2093,33420,0,0,0,0,108.448,816.477,114.609,0.00795363,0.0389639,0.00961388
