Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
21,111,36.0117,F,1,2,local,STIPreEmigrating,0,11,9,0,1,MARITAL,MIGRATING,73,0,1
21,73,38.2204,M,2,0,N/A,STIPostImmigrating,0,11,9,0,1,MARITAL,MIGRATING,111,2,0
21,111,36.0117,F,2,0,N/A,STIPostImmigrating,0,11,9,0,1,MARITAL,NORMAL,73,2,2
23,5,30.3445,F,1,2,local,STIPreEmigrating,0,23,12,0,1,MARITAL,MIGRATING,177,1,1
23,115,47.0549,M,1,2,local,STIPreEmigrating,0,15,7,0,1,MARITAL,MIGRATING,263,1,1
23,177,44.5293,M,1,2,local,STIPreEmigrating,0,23,12,0,1,MARITAL,MIGRATING,5,1,0
23,263,40.1032,F,1,2,local,STIPreEmigrating,0,15,7,0,1,MARITAL,MIGRATING,115,0,1
23,281,42.5585,F,1,0,N/A,STIPostImmigrating,0,41,10,0,1,MARITAL,MIGRATING,63,0,1
23,63,45.1583,M,1,0,N/A,STIPostImmigrating,0,41,10,0,1,MARITAL,NORMAL,281,1,1
23,281,42.5585,F,2,1,local,STIPreEmigrating,0,41,10,0,1,MARITAL,MIGRATING,63,2,2
23,63,45.1583,M,2,1,local,STIPreEmigrating,0,41,10,0,1,MARITAL,MIGRATING,281,2,0
23,5,30.3445,F,2,0,N/A,STIPostImmigrating,0,23,12,0,1,MARITAL,MIGRATING,177,0,2
23,115,47.0549,M,2,0,N/A,STIPostImmigrating,0,15,7,0,1,MARITAL,MIGRATING,263,2,0
23,177,44.5293,M,2,0,N/A,STIPostImmigrating,0,23,12,0,1,MARITAL,NORMAL,5,2,2
23,263,40.1032,F,2,0,N/A,STIPostImmigrating,0,15,7,0,1,MARITAL,NORMAL,115,2,2
25,130,39.3594,F,1,2,local,STIPreEmigrating,0,10,7,0,1,MARITAL,MIGRATING,32,1,1
25,123,26.7221,F,1,2,local,STIPreEmigrating,0,53,9,0,1,MARITAL,MIGRATING,221,1,1
25,32,45.9449,M,1,2,local,STIPreEmigrating,0,10,7,0,1,MARITAL,MIGRATING,130,1,0
25,221,29.6011,M,1,2,local,STIPreEmigrating,0,53,9,0,1,MARITAL,MIGRATING,123,1,0
25,30,44.1736,M,1,0,N/A,STIPostImmigrating,0,8,5,0,1,MARITAL,MIGRATING,100,1,0
25,100,35.0674,F,1,0,N/A,STIPostImmigrating,0,8,5,0,1,MARITAL,NORMAL,30,1,1
25,30,44.1736,M,2,1,local,STIPreEmigrating,0,8,5,0,1,MARITAL,MIGRATING,100,2,2
25,100,35.0674,F,2,1,local,STIPreEmigrating,0,8,5,0,1,MARITAL,MIGRATING,30,0,2
25,130,39.3594,F,2,0,N/A,STIPostImmigrating,0,10,7,0,1,MARITAL,MIGRATING,32,0,2
25,123,26.7221,F,2,0,N/A,STIPostImmigrating,0,53,9,0,1,MARITAL,MIGRATING,221,0,2
25,32,45.9449,M,2,0,N/A,STIPostImmigrating,0,10,7,0,1,MARITAL,NORMAL,130,2,2
25,221,29.6011,M,2,0,N/A,STIPostImmigrating,0,53,9,0,1,MARITAL,NORMAL,123,2,2
26,78,66.7358,M,1,0,N/A,STIPostImmigrating,0,46,7,0,1,MARITAL,MIGRATING,164,1,0
26,164,72.389,F,1,0,N/A,STIPostImmigrating,0,46,7,0,1,MARITAL,NORMAL,78,1,1
26,78,66.7358,M,2,1,local,STIPreEmigrating,0,46,7,0,1,MARITAL,MIGRATING,164,2,2
26,164,72.389,F,2,1,local,STIPreEmigrating,0,46,7,0,1,MARITAL,MIGRATING,78,0,2
27,259,29.1648,M,1,0,N/A,STIPostImmigrating,0,75,4,0,1,MARITAL,MIGRATING,42,1,0
27,42,23.7161,F,1,0,N/A,STIPostImmigrating,0,75,4,0,1,MARITAL,NORMAL,259,1,1
27,259,29.1648,M,2,1,local,STIPreEmigrating,0,75,4,0,1,MARITAL,MIGRATING,42,2,2
27,42,23.7161,F,2,1,local,STIPreEmigrating,0,75,4,0,1,MARITAL,MIGRATING,259,0,2
29,21,40.7036,M,1,2,local,STIPreEmigrating,0,39,7,0,1,MARITAL,MIGRATING,89,1,1
29,89,42.2781,F,1,2,local,STIPreEmigrating,0,39,7,0,1,MARITAL,MIGRATING,21,0,1
29,6,31.7718,M,1,0,N/A,STIPostImmigrating,0,44,9,0,1,MARITAL,MIGRATING,296,1,0
29,296,28.785,F,1,0,N/A,STIPostImmigrating,0,44,9,0,1,MARITAL,NORMAL,6,1,1
29,6,31.7718,M,2,1,local,STIPreEmigrating,0,44,9,0,1,MARITAL,MIGRATING,296,2,2
29,296,28.785,F,2,1,local,STIPreEmigrating,0,44,9,0,1,MARITAL,MIGRATING,6,0,2
29,21,40.7036,M,2,0,N/A,STIPostImmigrating,0,39,7,0,1,MARITAL,MIGRATING,89,2,0
29,89,42.2781,F,2,0,N/A,STIPostImmigrating,0,39,7,0,1,MARITAL,NORMAL,21,2,2
30,39,37.8298,F,1,2,local,STIPreEmigrating,0,19,13,0,1,MARITAL,MIGRATING,131,1,1
30,61,58.1083,M,1,2,local,STIPreEmigrating,0,7,9,0,1,MARITAL,MIGRATING,333,1,1
30,131,50.51,M,1,2,local,STIPreEmigrating,0,19,13,0,1,MARITAL,MIGRATING,39,1,0
30,333,77.1029,F,1,2,local,STIPreEmigrating,0,7,9,0,1,MARITAL,MIGRATING,61,0,1
30,39,37.8298,F,2,0,N/A,STIPostImmigrating,0,19,13,0,1,MARITAL,MIGRATING,131,0,2
30,61,58.1083,M,2,0,N/A,STIPostImmigrating,0,7,9,0,1,MARITAL,MIGRATING,333,2,0
30,131,50.51,M,2,0,N/A,STIPostImmigrating,0,19,13,0,1,MARITAL,NORMAL,39,2,2
30,333,77.1029,F,2,0,N/A,STIPostImmigrating,0,7,9,0,1,MARITAL,NORMAL,61,2,2
